Time,Type,Name,Against France,To Review,Comment,Youtube Link
00:17:54,Turnover,6th Touch,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1074
00:18:19,Penalty,Hard Touch,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1099
00:18:55,Penalty,Forward Pass,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1135
00:19:31,Turnover,Ball Down,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1171
00:19:57,Try,Try,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1197
00:20:47,Turnover,6th Touch,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1247
00:21:04,Turnover,Ball Down,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1264
00:21:34,Turnover,Ball Down,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1294
00:21:48,To Review,In The Ruck,FALSE,TRUE,In the ruck ?,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1308
00:21:57,Penalty,Offside,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1317
00:22:03,To Review,Other,FALSE,FALSE,Off the ball skirmish,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1323
00:22:15,Game Event,Game End,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1335
00:27:13,Game Event,Game Start,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1633
00:27:22,Turnover,Ball Down,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1642
00:27:43,Penalty,Forward Pass,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1663
00:28:29,Try,Try,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1709
00:29:24,Turnover,6th Touch,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1764
00:29:33,Turnover,Ball Down,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1773
00:29:52,Penalty,In The Ruck,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1792
00:30:33,Turnover,Ball Down,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1833
00:31:04,Turnover,6th Touch,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1864
00:31:32,Turnover,6th Touch,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1892
00:32:06,Turnover,6th Touch,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1926
00:32:25,Turnover,Ball Down,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1945
00:32:56,Turnover,Ball Down,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=1976
00:33:26,Turnover,6 Again,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2006
00:33:41,Try,Try,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2021
00:34:18,Turnover,Ball Down,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2058
00:34:50,Turnover,6 Again,TRUE,TRUE,6 again or not?,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2090
00:35:43,Turnover,6th Touch,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2143
00:36:15,Turnover,Ball Down,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2175
00:36:50,Turnover,Ball Down,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2210
00:37:14,Penalty,Hard Touch,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2234
00:37:32,Penalty,Forward Pass,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2252
00:38:14,Try,Try,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2294
00:38:44,Penalty,Forward Pass,FALSE,TRUE,Not sure which one,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2324
00:39:28,Turnover,Ball Down,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2368
00:39:51,Penalty,In The Ruck,TRUE,TRUE,"I really don't understand this one, seems more like an overstep",https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2391
00:40:39,Try,Try,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2439
00:41:12,Try,Try,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2472
00:41:48,Turnover,6 Again,TRUE,TRUE,6 again or not?,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2508
00:42:24,Try,Try,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2544
00:43:18,Penalty,Forward Pass,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2598
00:43:51,Turnover,6th Touch,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2631
00:44:19,Turnover,Ball Down,TRUE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2659
00:44:53,Turnover,Ball Down,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2693
00:45:04,Penalty,Shoulder,TRUE,TRUE,When we freeze frame seems like there is an arm,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2704
00:45:35,Turnover,Ball Down,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2735
00:46:08,Try,Try,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2768
00:46:35,To Review,Other,FALSE,TRUE,Seems like the same as the shoulder against France above,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2795
00:46:58,Turnover,6th Touch,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2818
00:47:17,Game Event,Game End,FALSE,FALSE,,https://youtu.be/OVdyq3oRq_w?si=UqAu1x62-mD_XZPv&t=2837
